'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THREDBO New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 27 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THREDBO,01/05/2025,1.1,2.0, ,6.7,-2.1,100,60,2.44,10.66
THREDBO,02/05/2025,2.0,0.2, ,9.2,-4.3,80,14,2.64,12.89
THREDBO,03/05/2025,2.8,0.0, ,12.5,-1.9,59,12,3.84,12.77
THREDBO,04/05/2025,3.6,0.0, ,14.0,0.9,54,8,5.27,12.45
THREDBO,05/05/2025,3.7,0.0, ,9.1,3.0,93,7,14.80,11.29
THREDBO,06/05/2025,1.4,0.0, ,8.1,4.9,93,74,17.13,7.70
THREDBO,07/05/2025,1.0,0.0, ,7.2,4.6,98,79,16.40,6.67
THREDBO,08/05/2025,1.7,0.2, ,8.4,-2.2,92,49,6.02,12.01
THREDBO,09/05/2025,1.9,0.0, ,12.7,-2.7,79,35,2.89,11.94
THREDBO,10/05/2025,2.5,0.0, ,12.9,1.0,84,14,3.90,11.93
THREDBO,11/05/2025,2.7,0.0, ,11.9,0.7,86,18,5.41,11.79
THREDBO,12/05/2025,1.3,0.0, ,9.9,3.8,99,63,4.71,10.07
THREDBO,13/05/2025,1.2,0.0, ,9.4,1.7,99,71,5.30,10.60
THREDBO,14/05/2025,1.2,0.0, ,8.7,1.7,99,67,5.33,9.72
THREDBO,15/05/2025,1.4,0.0, ,8.5,-0.2,99,54,4.14,11.36
THREDBO,16/05/2025,1.3,0.0, ,7.2,0.3,96,65,7.21,11.21
THREDBO,17/05/2025,1.3,0.0, ,6.1,0.1,99,53,4.99,9.62
THREDBO,18/05/2025,0.4,0.2, ,-1.8,-3.7,99,97,2.31,4.01
THREDBO,19/05/2025,0.8,0.6, ,1.7,-6.5,97,66,2.89,8.97
THREDBO,20/05/2025,1.5,0.0, ,6.3,-5.7,99,47,6.49,10.45
THREDBO,21/05/2025,1.0,0.0, ,7.6,-1.6,99,71,4.36,9.95
THREDBO,22/05/2025,0.9,0.0, ,5.7,1.1,100,72,5.74,5.31
THREDBO,23/05/2025,0.8,33.8, ,7.6,4.0,100,79,10.74,3.22
THREDBO,24/05/2025,0.5,49.4, ,2.6,1.3,100,88,17.15,4.53
THREDBO,25/05/2025,1.7,3.0, ,5.1,-0.8,94,50,16.61,7.54
THREDBO,26/05/2025, ,0.0, , ,0.3,100,49,17.58,2.44
Totals:,,39.7,89.4, ,,,,,, 
