input_name,normalized
BRADSHAW - ANGALLARI VALLEY (DEFENCE),bradshaw angallari valley
BRADSHAW - KOOLENDONG VALLEY (DEFENCE),bradshaw koolendong valley
CENTRAL ARNHEM PLATEAU,central arnhem plateau
DELAMERE WEAPONS RANGE,delamere weapons range
DUM IN MIRRIE AIRSTRIP,dum in mirrie airstrip
ESPERANCE AERO,esperance
KINGSCOTE AERO,kingscote
MOUNT BUNDEY NORTH (DEFENCE),mount bundey north
MOUNT BUNDEY SOUTH (DEFENCE),mount bundey south
MURGANELLA AIRSTRIP,murganella airstrip
NGAYAWILI,ngayawili
NURIOOTPA PIRSA,nuriootpa pirsa
PARNDANA CFS,parndana cfs
STRATHALBYN RACECOURSE,strathalbyn racecourse
TERRITORY GRAPE FARM,territory grape farm
STRATHALBYN RACECOURSE,strathalbyn racecourse
TERRITORY GRAPE FARM,territory grape farm
STRATHALBYN RACECOURSE,strathalbyn racecourse
TERRITORY GRAPE FARM,territory grape farm
TERRITORY GRAPE FARM,territory grape farm
TERRITORY GRAPE FARM,territory grape farm
TERRITORY GRAPE FARM,territory grape farm
