station_name,site_id,latitude,longitude
AMBERLEY AMO,40004,-27.6297,152.7111
AYR DPI RESEARCH STN,33002,-19.6169,147.3758
BADGINGARRA RESEARCH STN,9037,-30.3381,115.5394
BALLERA GAS FIELD,45009,-27.4008,141.8114
BEERBURRUM FOREST STATION,40284,-26.9586,152.9619
BREAKWATER (GEELONG RACECOURSE),87184,-38.1737,144.3766
BRISBANE AERO (AUTO EVAP),140842,-27.3917,153.1292
BUNDABERG,39170,-24.8664,152.35
BUSHY PARK (BUSHY PARK ESTATES),95003,-42.7097,146.8983
BYRON BAY,58233,-28.6495,153.6172
CABRAMURRA SMHEA,72091,-35.9383,148.3842
CAIRNS AERO (AUTO EVAP),31229,-16.8736,145.7458
CAIRNS RACECOURSE,31222,-16.9463,145.7474
CAMOOWEAL TOWNSHIP,37010,-19.9225,138.1214
CAMPANIA (KINCORA),94212,-42.6867,147.4258
CAMPBELLTOWN,88011,-37.2236,143.9616
CANUNGRA (DEFENCE),140008,-28.0437,153.1871
CAPE JAFFA (THE LIMESTONE),26095,-36.9655,139.7164
CARTERS BORE,37053,-20.9358,139.2964
CEDUNA (THEVENARD ABSLMA COMPARISION),18220,-32.149,133.6416
CEDUNA (THEVENARD ABSLMA COMPARISION),18220,-32.149,133.6416
CHARLEVILLE (FOUR MILE CREEK),63127,-33.45,148.9333
COFFIN BAY (POINT AVOID),18230,-34.675,135.3362
COLAC (ELLIMINYT),90174,-38.3933,143.5961
CORNER INLET (YANAKIE),85301,-38.8051,146.1936
CRESSY (BRUMBYS CREEK),91375,-41.7114,147.082
CULTANA (DEFENCE),18229,-32.6845,137.3689
CUMMINS AERO,18217,-34.2524,135.7135
CUNDERDIN AIRFIELD,10286,-31.6219,117.2217
CURTIN,70248,-35.3333,149.0833
DERBY (BELL ST),91369,-41.142,147.7964
DUNALLEY (STROUD POINT),94254,-42.9017,147.7894
EILDON FIRE TOWER,88164,-37.2091,145.8423
FINGAL (FLEMING ST),92163,-41.643,147.98
FITZROY CROSSING AERO,3093,-18.1814,125.5619
FRANKSTON (BALLAM PARK),86388,-38.1517,145.1615
GARDEN ISLAND HSF,9256,-32.2433,115.6839
GILES METEOROLOGICAL OFFICE,13017,-25.0341,128.301
GINGIN AERO,9178,-31.4628,115.8642
GRAFTON RESEARCH STN,58077,-29.6224,152.9605
GRAMPIANS (MOUNT WILLIAM),79103,-37.295,142.6039
GREENBANK (DEFENCE),140009,-27.6932,152.9935
GROVE (RESEARCH STATION) (AUTO EVAP),94280,-42.9844,147.0756
GUNNEDAH RESOURCE CENTRE,55024,-31.0261,150.2687
HARTZ MOUNTAIN (KEOGHS PIMPLE),94191,-43.2006,146.7683
INVERELL (FISHER RD),56246,-29.7853,151.1606
JANDAKOT AERO,9172,-32.1011,115.8794
JERVIS BAY NSW (JERVIS BAY AIRFIELD AWS),68264,-35.1439,150.6973
JERVIS BAY (POINT PERPENDICULAR AWS),68151,-35.0936,150.8049
KAPOOKA (DEFENCE),74272,-35.1327,147.2512
KARIJINI NORTH,5098,-22.2999,118.4498
KARRATHA STATION,5052,-20.8831,116.6725
KENNAOOK/CAPE GRIM,91331,-40.6764,144.6922
KUNUNURRA AERO,2056,-15.7814,128.71
LARAPUNA (EDDYSTONE POINT),92045,-40.9928,148.3467
LAUNCESTON AIRPORT,91311,-41.5476,147.2156
LAVERTON RAAF,87031,-37.8565,144.7565
LEINSTER AERO,12314,-27.8386,120.7031
LEONORA AERO,12241,-28.8789,121.3186
LONGREACH AERO (AUTO EVAP),36174,-23.4397,144.2828
LUNCHEON HILL (FORESTRY),91259,-41.1492,145.1517
MAATSUYKER ISLAND LIGHTHOUSE,94041,-43.6578,146.2711
MARIA ISLAND (POINT LESUEUR),92124,-42.6621,148.0179
MARRANGAROO (DEFENCE),63308,-33.4346,150.135
MARREE (ETADUNNA),17132,-28.7191,138.6342
MELBOURNE AIRPORT (AUTO EVAP),86404,-37.6654,144.8322
MERRIWA (PEMBROKE),62069,-32.0167,150.15
MILES CONSTANCE STREET,42112,-26.6569,150.1819
MILLENDON (SWAN VALLEY),9281,-31.8112,116.0227
MINNIPA PIRSA,18195,-32.8427,135.1515
MONTAGUE ISLAND LIGHTHOUSE,69017,-36.2519,150.2275
MOREE AERO (AUTO EVAP),53117,-29.4898,149.8471
MOUNT GAMBIER AERO (AUTO EVAP),26117,-37.7473,140.7739
MOUNT ISA AERO (AUTO EVAP),29186,-20.6778,139.4875
MOUNT STUART (DEFENCE),32195,-19.4082,146.762
NAMBOUR DAFF - HILLSIDE,40988,-26.6442,152.9383
