station_name,site_id,latitude,longitude
NEWMAN AERO,7176,-23.4212,119.8015
NEW MAY DOWNS,37059,-20.59,139.3411
NORSEMAN,12065,-32.1981,121.7794
NOWRA RAN AIR STATION (PTS ANEMOMETER),68260,-34.9606,150.5249
OAKEY AERO,41359,-27.4034,151.7413
OORALEA RACECOURSE (MACKAY TURF CLUB),33329,-21.17,149.1515
PARABURDOO AERO,7185,-23.1726,117.7493
PORT AUGUSTA (YADLAMALKA),19083,-32.0331,137.8939
PUCKAPUNYAL LYON HILL (DEFENCE),88167,-36.9381,145.0539
PUCKAPUNYAL WEST (DEFENCE),88166,-37.0177,144.8546
PYRENEES (BEN NEVIS),79101,-37.2281,143.2005
RED ROCKS POINT,11053,-32.2028,127.5297
ROCKHAMPTON AERO (AUTO EVAP),39356,-23.3753,150.4775
ROEBOURNE AERO,4090,-20.7594,117.1583
ROXBY DOWNS (OLYMPIC DAM AERODROME),16096,-30.4869,136.8739
RUTHERGLEN RESEARCH,82039,-36.1048,146.5094
SAMUEL HILL AERO,33308,-22.7433,150.6578
SCORESBY RESEARCH INSTITUTE,86104,-37.871,145.2561
SCOTTSDALE (FORESTRY),91246,-41.1608,147.5156
SHEFFIELD SCHOOL FARM,91291,-41.389,146.3173
SNOWTOWN (RAYVILLE PARK),21133,-33.7675,138.2182
SOUTHERN CROSS AIRFIELD,12320,-31.2353,119.3564
SOUTH JOHNSTONE EXP STN,32037,-17.6053,145.9972
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
TARCOOLA AERO,16098,-30.7051,134.5786
TATURA INST SUSTAINABLE AG,81049,-36.4379,145.2673
TELFER AERO,13030,-21.7125,122.2281
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
SOUTH JOHNSTONE EXP STN,32037,-17.6053,145.9972
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
TARCOOLA AERO,16098,-30.7051,134.5786
TATURA INST SUSTAINABLE AG,81049,-36.4379,145.2673
TELFER AERO,13030,-21.7125,122.2281
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
SYDNEY (OBSERVATORY HILL),66214,-33.8593,151.2048
TARCOOLA AERO,16098,-30.7051,134.5786
TATURA INST SUSTAINABLE AG,81049,-36.4379,145.2673
TELFER AERO,13030,-21.7125,122.2281
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
TARCOOLA AERO,16098,-30.7051,134.5786
TATURA INST SUSTAINABLE AG,81049,-36.4379,145.2673
TELFER AERO,13030,-21.7125,122.2281
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
TATURA INST SUSTAINABLE AG,81049,-36.4379,145.2673
TELFER AERO,13030,-21.7125,122.2281
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
TEWANTIN RSL PARK,40908,-26.3911,153.0403
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
TIN CAN BAY (DEFENCE),140010,-25.9351,152.9647
TOWNSVILLE (HERVEY RANGE),33321,-19.4198,146.5509
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
TOWNSVILLE- AIR WEAPONS RANGE (DEFENCE),32196,-19.3048,146.2438
TOWNSVILLE- FANNING RIVER (DEFENCE),33328,-19.783,146.5
WAGGA WAGGA (GURWOOD STREET),74127,-35.1071,147.3636
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
WANAARING (DELTA AWS),48247,-30.1006,145.3338
WANGARATTA AERO,82138,-36.4205,146.3056
WALLAN (KILMORE GAP),88162,-37.3807,144.9654
WALPEUP,76065,-35.1369,142.0237
WANAARING (DELTA AWS),48247,-30.1006,145.3338
WANGARATTA AERO,82138,-36.4205,146.3056
WANAARING (DELTA AWS),48247,-30.1006,145.3338
WANGARATTA AERO,82138,-36.4205,146.3056
WARBURTON AIRFIELD,13011,-26.1317,126.5839
WARRNAMBOOL AIRPORT NDB,90186,-38.2869,142.4524
WEIPA AERO (AUTO EVAP),27080,-12.6778,141.9208
WHYALLA,41347,-28.7447,151.02
WARBURTON AIRFIELD,13011,-26.1317,126.5839
WARRNAMBOOL AIRPORT NDB,90186,-38.2869,142.4524
WEIPA AERO (AUTO EVAP),27080,-12.6778,141.9208
WHYALLA,41347,-28.7447,151.02
WILUNA,53045,-30.3,149.5
WUDINNA (EMROO),18212,-33.2183,135.2591
WEIPA AERO (AUTO EVAP),27080,-12.6778,141.9208
WHYALLA,41347,-28.7447,151.02
WILUNA,53045,-30.3,149.5
WUDINNA (EMROO),18212,-33.2183,135.2591
WHYALLA,41347,-28.7447,151.02
WILUNA,53045,-30.3,149.5
WUDINNA (EMROO),18212,-33.2183,135.2591
WYNDHAM (DOVEWOOD),69100,-36.9,149.65
WILUNA,53045,-30.3,149.5
WUDINNA (EMROO),18212,-33.2183,135.2591
WYNDHAM (DOVEWOOD),69100,-36.9,149.65
WYNDHAM (DOVEWOOD),69100,-36.9,149.65
YAMBA PILOT STATION,58012,-29.4325,153.3632
YAMBA PILOT STATION,58012,-29.4325,153.3632
YAMPI SOUND (DEFENCE),3108,-16.7671,123.981
YEPPOON THE ESPLANADE,33294,-23.1364,150.7506
YUNTA AIRSTRIP,20062,-32.5707,139.5645
